age,type,origin,rarity
1922,4,0,0.95098
2544,1,4,0.951009
1156,1,5,0.951009
1168,0,0,0.951009
1710,2,4,0.95107
2390,0,5,0.95107
2200,2,2,0.951219
310,4,6,0.951219
2536,4,2,0.951219
1022,1,0,0.951219
634,1,6,0.951289
2319,2,5,0.951299
2964,1,5,0.951311
1758,1,0,0.951368
2537,4,0,0.951368
1514,2,4,0.951368
1512,2,4,0.951368
1159,1,5,0.951429
844,4,5,0.951456
843,4,5,0.951456
346,0,4,0.951456
2315,2,5,0.951456
1032,0,1,0.951515
2535,4,0,0.951515
2379,0,5,0.951515
1759,1,0,0.951515
1530,4,6,0.951515
2959,1,5,0.951557
1402,1,6,0.951613
2148,2,2,0.951613
2440,0,3,0.951613
2634,0,4,0.951613
2318,2,5,0.951613
1681,3,1,0.951662
1099,4,2,0.951662
1031,0,6,0.951662
1511,2,4,0.951662
1019,0,1,0.951662
1943,4,0,0.951769
338,0,4,0.951769
2863,4,4,0.951769
212,2,1,0.951769
839,4,5,0.951769
2859,4,4,0.951769
341,0,4,0.951769
1096,4,2,0.951807
1018,0,1,0.951807
274,1,5,0.951807
398,2,4,0.951807
1678,1,3,0.951807
1680,3,1,0.951807
683,3,4,0.951807
1679,1,3,0.951807
2381,0,5,0.951807
1443,1,6,0.95189
2218,0,5,0.95189
1481,4,6,0.951923
323,1,0,0.951923
248,0,1,0.951923
1791,3,4,0.951952
2186,0,3,0.952055
1942,4,0,0.952077
2463,3,6,0.952077
1399,1,6,0.952077
47,3,4,0.952096
1794,1,0,0.952096
2754,4,0,0.952206
2757,1,1,0.952206
1444,0,1,0.952218
618,1,6,0.952239
1091,4,2,0.952239
2629,4,0,0.952381
1446,0,1,0.952381
1447,0,1,0.952381
1351,3,2,0.952381
407,2,4,0.952381
245,0,1,0.952381
1446,1,6,0.952381
854,4,5,0.952381
1359,3,2,0.952381
2462,3,6,0.952381
2598,4,2,0.952522
49,3,4,0.952522
692,3,4,0.952522
1007,3,3,0.952522
765,2,1,0.952532
801,2,1,0.952532
349,0,4,0.952532
1375,1,6,0.952542
2672,1,3,0.952542
2581,4,0,0.952663
2581,1,4,0.952663
2581,1,6,0.952663
214,2,1,0.952681
242,0,1,0.952681
595,1,4,0.952681
1695,2,4,0.952681
2397,2,3,0.952681
2119,2,0,0.952681
2406,4,3,0.952681
1431,0,1,0.952703
2177,0,3,0.952703
636,1,6,0.952802
422,1,4,0.952802
2582,4,0,0.952802
1009,3,3,0.952802
1123,4,2,0.952802
2078,2,5,0.95283
1196,1,0,0.95283
317,1,0,0.95283
800,2,1,0.95283
1200,1,0,0.95283
860,4,5,0.95283
2069,2,5,0.95283
2738,3,2,0.952899
656,1,5,0.952941
1779,0,4,0.952978
568,1,1,0.952978
2090,1,1,0.952978
319,1,0,0.952978
319,1,3,0.952978
2116,2,5,0.952978
2082,2,5,0.952978
855,4,5,0.952978
2836,0,0,0.95302
2839,0,0,0.95302
2839,3,4,0.95302
2837,0,0,0.95302
1129,4,2,0.953079
2593,1,4,0.953079
2575,1,4,0.953079
2580,4,2,0.953079
2594,1,3,0.953079
567,1,1,0.953125
2072,2,5,0.953125
2131,2,0,0.953125
178,0,1,0.953177
2577,1,4,0.953216
2576,1,6,0.953216
2577,4,2,0.953216
232,0,1,0.953271
586,1,6,0.953271
857,4,5,0.953271
958,1,1,0.953271
2935,1,5,0.953271
1194,1,0,0.953271
2109,2,5,0.953271
15,0,2,0.953271
2132,2,0,0.953271
2669,4,4,0.953333
2857,4,4,0.953333
2547,1,4,0.953353
2547,4,2,0.953353
1255,1,3,0.953353
1290,1,1,0.953353
790,4,5,0.953416
2108,2,5,0.953416
1346,3,2,0.953416
2118,2,5,0.953416
955,2,3,0.953416
955,1,1,0.953416
1238,2,4,0.953488
161,0,2,0.953488
1925,4,0,0.953488
1258,2,4,0.953488
1370,2,4,0.953488
2492,4,0,0.953488
1326,3,2,0.953488
1128,4,2,0.953488
1372,2,4,0.953488
2664,2,2,0.953488
357,2,4,0.95356
361,2,2,0.95356
1768,0,4,0.95356
361,0,4,0.95356
1141,4,2,0.953623
2588,4,0,0.953623
2571,4,2,0.953623
1930,4,0,0.953642
2298,4,1,0.953642
1411,1,6,0.953642
1417,1,6,0.953642
2169,1,1,0.953642
1371,3,2,0.953642
1929,4,0,0.953642
1986,1,1,0.953642
1470,0,1,0.953642
760,2,1,0.953704
2249,4,1,0.953737
280,1,5,0.953757
1652,1,3,0.953757
1253,1,3,0.953757
2846,4,4,0.953795
1382,1,6,0.953795
2299,4,1,0.953795
158,0,1,0.953795
1384,0,6,0.953795
2161,2,1,0.953795
613,0,3,0.953846
901,4,3,0.953846
358,2,4,0.953846
2589,1,3,0.953891
2589,1,4,0.953891
2589,0,4,0.953891
2572,4,2,0.953891
2253,4,1,0.953901
2660,4,2,0.953947
1474,2,4,0.953947
390,2,2,0.953988
2100,2,5,0.953988
1753,1,0,0.953988
754,2,1,0.953988
2094,1,1,0.953988
524,3,5,0.953988
1193,1,5,0.953988
314,1,0,0.953988
1800,2,5,0.954023
1262,2,4,0.954023
1262,1,2,0.954023
1164,1,5,0.954023
1264,1,2,0.954023
2791,0,0,0.954064
2988,3,0,0.954082
1383,2,4,0.954098
2051,1,1,0.954098
1383,0,6,0.954098
1931,3,2,0.954098
898,4,3,0.954128
2612,0,4,0.954128
375,2,4,0.954128
2106,2,5,0.954128
1526,2,6,0.954128
2600,4,0,0.954128
752,2,1,0.954128
2612,4,0,0.954128
1162,0,0,0.954155
1604,4,2,0.954155
1593,4,6,0.954178
2656,4,2,0.954248
1922,1,0,0.954248
1403,1,6,0.954248
2847,3,4,0.954248
1367,2,4,0.954248
2849,4,4,0.954248
2644,1,3,0.954248
1387,2,4,0.954248
2048,1,1,0.954248
368,2,2,0.954268
365,2,4,0.954268
1077,0,1,0.954268
1523,4,4,0.954268
1750,3,4,0.954268
2971,3,6,0.954357
1450,2,5,0.954386
2795,1,2,0.954386
1450,0,1,0.954386
2792,2,2,0.954386
1924,4,0,0.954397
2653,4,2,0.954397
1921,1,0,0.954397
2356,2,6,0.954397
1386,2,4,0.954397
1683,4,4,0.954407
2610,0,4,0.954407
1342,2,2,0.954407
1049,0,6,0.954407
528,3,5,0.954407
1567,1,1,0.954416
949,2,3,0.954545
1901,4,0,0.954545
1536,4,4,0.954545
2705,0,5,0.954545
1114,0,1,0.954545
2305,2,5,0.954545
2987,3,0,0.954545
1297,1,1,0.954545
1222,4,0,0.954545
1660,4,4,0.954545
2098,2,5,0.954545
208,2,1,0.954545
2505,1,3,0.954545
1569,1,1,0.954545
1084,4,2,0.954545
1322,2,4,0.954674
682,3,4,0.954683
412,0,6,0.954683
1518,2,6,0.954683
2897,3,5,0.954693
2355,2,5,0.954693
2055,1,1,0.954693
819,0,5,0.954693
330,0,4,0.954693
346,1,1,0.954693
2191,0,3,0.954704
2235,0,5,0.954704
6,3,3,0.954802
1532,4,4,0.954819
480,3,5,0.954819
1678,2,4,0.954819
1223,2,4,0.954819
392,2,2,0.954819
1678,4,4,0.954819
2334,2,5,0.954839
1938,4,1,0.954839
1949,4,1,0.954839
2335,2,5,0.954839
2655,4,2,0.954839
2148,3,2,0.954839
1451,0,1,0.954861
2707,0,5,0.954861
2280,4,2,0.954861
1273,1,3,0.95493
1050,0,2,0.954955
402,3,3,0.954955
1056,3,3,0.954955
1233,2,4,0.954955
2567,4,2,0.954955
402,2,4,0.954955
1365,2,4,0.954984
2636,4,0,0.954984
2631,1,3,0.954984
2632,1,3,0.954984
2638,0,4,0.954984
1397,1,6,0.954984
2185,0,3,0.955017
2281,4,1,0.955017
947,2,3,0.95509
2530,4,2,0.95509
2568,4,2,0.95509
1086,4,2,0.95509
650,3,4,0.95509
1528,4,4,0.95509
1746,1,0,0.95509
1085,0,2,0.95509
879,4,5,0.95509
945,1,0,0.95509
1940,1,1,0.955128
1941,4,1,0.955128
1492,4,6,0.955128
2892,1,1,0.955128
1694,0,3,0.955128
2232,4,1,0.955172
2704,0,5,0.955172
1439,0,1,0.955172
1863,3,2,0.955182
1744,1,0,0.955224
1087,4,2,0.955224
1676,0,3,0.955224
1088,0,2,0.955224
1676,2,4,0.955224
986,2,3,0.955224
2753,2,2,0.955224
2566,1,6,0.955224
1087,0,2,0.955224
1396,1,6,0.955272
60,0,2,0.955307
1579,4,6,0.955307
2218,2,2,0.955326
1463,2,4,0.955326
1718,2,4,0.955357
1630,2,5,0.955357
995,1,0,0.955357
924,4,3,0.955357
546,1,1,0.955357
665,1,5,0.955357
1689,4,4,0.955414
2331,2,5,0.955414
1357,2,4,0.955414
2353,2,6,0.955414
2403,4,3,0.955414
1846,3,2,0.955432
1845,3,2,0.955432
2036,1,1,0.955479
2181,1,1,0.955479
2226,1,1,0.955479
2186,1,1,0.955479
1052,3,3,0.95549
1645,4,4,0.95549
1641,4,4,0.95549
1641,3,5,0.95549
1351,1,0,0.955556
1202,1,5,0.955556
604,1,6,0.955556
1491,4,6,0.955556
2057,1,5,0.955556
2350,2,6,0.955556
1576,4,6,0.955556
1778,2,0,0.955556
602,0,3,0.955556
2766,0,0,0.955556
2554,1,3,0.955621
1674,0,3,0.955621
1553,2,4,0.955621
501,0,5,0.955621
425,1,4,0.955621
1899,4,0,0.955621
1896,4,0,0.955621
425,4,4,0.955621
2552,1,6,0.955621
1742,1,0,0.955621
661,1,5,0.955621
2187,1,1,0.955631
2038,1,5,0.955631
2035,1,1,0.955631
2187,2,2,0.955631
1976,4,0,0.955631
1976,3,3,0.955631
2969,1,5,0.955645
1589,4,6,0.955679
1868,3,2,0.955679
1199,1,5,0.955696
1490,4,6,0.955696
1696,3,0,0.955696
254,3,4,0.955696
1490,2,4,0.955696
2351,2,6,0.955696
1697,3,0,0.955696
1199,0,0,0.955696
1201,1,5,0.955696
2886,1,1,0.955696
1696,1,3,0.955696
2748,2,2,0.95572
2592,4,0,0.955752
1634,4,4,0.955752
2596,4,0,0.955752
711,1,2,0.955752
2592,1,3,0.955752
2560,4,2,0.955752
2015,4,0,0.955782
2799,1,2,0.955782
2180,1,1,0.955782
2478,4,6,0.955782
1973,2,5,0.955782
2806,3,4,0.955782
1874,2,0,0.955801
2517,4,0,0.955836
1695,3,0,0.955836
255,0,1,0.955836
592,1,6,0.955836
2339,0,4,0.955836
380,0,4,0.955836
1489,4,6,0.955836
1209,1,0,0.955836
2866,1,1,0.955836
592,1,4,0.955836
640,3,4,0.955882
2730,3,2,0.955882
2584,0,4,0.955882
2732,3,2,0.955882
300,1,5,0.955882
2584,1,4,0.955882
698,3,4,0.955882
642,3,4,0.955882
1626,4,2,0.955882
2584,4,2,0.955882
1177,4,0,0.955882
51,3,3,0.955882
428,0,6,0.955882
1643,4,4,0.955882
1560,0,3,0.955882
300,0,4,0.955882
443,1,1,0.955882
301,1,5,0.955882
2043,1,5,0.955932
2289,2,5,0.955932
2908,3,5,0.955932
2907,3,5,0.955932
1969,1,1,0.955932
2479,3,3,0.955932
2449,0,3,0.955975
2407,2,3,0.955975
1487,2,4,0.955975
1206,1,5,0.955975
2593,4,1,0.956012
1550,2,4,0.956012
1118,2,2,0.956012
1799,2,5,0.956012
2591,0,4,0.956012
295,1,5,0.956012
2593,1,6,0.956012
2575,1,6,0.956012
662,3,4,0.956012
424,4,4,0.956012
2736,1,1,0.956044
2745,2,2,0.956044
2765,3,0,0.956044
2473,3,6,0.956081
2287,2,5,0.956081
2472,3,6,0.956081
2039,1,5,0.956081
1971,1,1,0.956081
2031,2,4,0.956081
2059,2,4,0.956113
2373,0,5,0.956113
2089,1,1,0.956113
2067,0,4,0.956113
1779,3,4,0.956113
793,0,3,0.956113
591,1,1,0.956113
44,3,3,0.956113
241,2,1,0.956113
591,1,4,0.956113
568,2,5,0.956113
1240,4,0,0.95614
1174,4,0,0.95614
18,1,4,0.95614
1143,1,5,0.95614
1672,3,1,0.95614
1151,0,0,0.95614
18,0,2,0.95614
1414,2,4,0.956229
2903,3,5,0.956229
2835,3,4,0.956229
2674,0,5,0.956229
2681,2,0,0.956229
2060,1,1,0.95625
2341,0,4,0.95625
1700,0,3,0.95625
1214,1,0,0.95625
2573,1,6,0.956268
1673,0,3,0.956268
1551,2,4,0.956268
444,1,1,0.956268
2547,1,6,0.956268
1150,4,0,0.956268
2768,4,0,0.956364
2764,4,0,0.956364
2768,1,1,0.956364
2836,3,4,0.956376
2832,0,0,0.956376
2470,0,3,0.956376
2030,0,2,0.956376
2809,3,4,0.956376
2676,0,5,0.956376
1194,0,0,0.956386
2061,2,4,0.956386
559,1,1,0.956386
2627,4,0,0.956386
562,2,5,0.956386
2418,0,5,0.956386
2112,2,5,0.956386
908,2,3,0.956386
2525,4,0,0.956386
1194,4,0,0.956386
2132,3,3,0.956386
1146,4,2,0.956395
1720,2,4,0.956395
439,0,6,0.956395
2834,3,4,0.956522
585,1,6,0.956522
1565,4,6,0.956522
2968,3,6,0.956522
180,4,2,0.956522
178,3,2,0.956522
463,2,1,0.956522
788,4,5,0.956522
2174,3,2,0.956522
1565,0,0,0.956522
2362,2,6,0.956522
376,0,4,0.956522
835,1,3,0.956522
445,1,1,0.956522
2571,1,6,0.956522
2588,1,6,0.956522
53,3,3,0.956522
954,2,3,0.956522
2174,2,1,0.956522
26,3,3,0.956522
2371,0,5,0.956522
1608,4,2,0.956522
178,3,0,0.956522
2545,1,6,0.956522
179,3,0,0.956522
910,1,1,0.956522
1195,4,0,0.956522
2026,4,0,0.956522
1329,2,0,0.956647
2590,4,1,0.956647
1610,4,6,0.956647
1610,4,2,0.956647
461,0,0,0.956647
1267,1,1,0.956647
1659,2,1,0.956647
1188,1,5,0.956656
2092,2,0,0.956656
953,2,3,0.956656
742,3,4,0.956656
1912,3,2,0.956656
1912,4,1,0.956656
1215,2,1,0.956656
905,4,3,0.956656
230,2,1,0.956656
1041,3,3,0.956656
1422,2,5,0.956667
2801,3,4,0.956667
2803,1,2,0.956667
2170,2,1,0.956667
2857,1,1,0.956667
191,3,2,0.956667
2802,1,2,0.956667
2720,4,1,0.956679
2976,3,6,0.95671
2589,4,0,0.956772
1046,3,3,0.95679
571,2,5,0.95679
576,2,5,0.95679
576,1,6,0.95679
1190,1,0,0.95679
389,0,6,0.95679
1751,3,4,0.95679
87,1,0,0.95679
1764,3,4,0.95679
911,1,1,0.95679
2364,0,6,0.95679
962,2,3,0.95679
976,0,0,0.95679
1190,4,0,0.95679
760,4,5,0.95679
1345,2,2,0.95679
1046,0,2,0.95679
1187,2,0,0.95679
2682,0,5,0.956811
1372,1,0,0.956811
1381,1,0,0.956811
1372,3,6,0.956811
1925,3,4,0.956811
2491,3,1,0.956811
2163,0,3,0.956811
2167,3,2,0.956811
2262,1,3,0.956835
2715,4,1,0.956835
2787,0,1,0.956835
1263,1,1,0.956897
1891,3,2,0.956897
1651,4,2,0.956897
1800,2,0,0.956897
288,1,5,0.956897
1651,4,4,0.956897
1566,4,2,0.956897
1908,4,0,0.956923
529,3,5,0.956923
1220,2,4,0.956923
226,4,6,0.956923
387,0,6,0.956923
561,1,1,0.956923
757,4,5,0.956923
1218,1,0,0.956923
2523,4,0,0.956923
2523,3,1,0.956923
2378,2,3,0.956923
2414,0,5,0.956923
1220,1,0,0.956923
736,4,5,0.956923
2160,0,3,0.956954
2684,0,5,0.956954
831,0,5,0.956954
2843,1,0,0.956954
1930,4,1,0.956954
2164,3,2,0.956954
2500,3,1,0.956954
2921,3,5,0.956954
1986,3,3,0.956954
1568,0,0,0.95702
74,1,0,0.95702
1885,3,2,0.95702
1189,2,4,0.957055
555,1,1,0.957055
1182,0,0,0.957055
647,3,4,0.957055
2999,3,6,0.957055
494,3,6,0.957055
530,3,5,0.957055
971,2,3,0.957055
1756,3,4,0.957055
2100,2,0,0.957055
1513,4,4,0.957055
86,1,0,0.957055
648,1,5,0.957055
2999,4,4,0.957055
647,1,6,0.957055
198,4,2,0.957096
2326,1,1,0.957096
2925,1,5,0.957096
2647,4,2,0.957096
1382,1,0,0.957096
200,4,2,0.957096
2845,1,0,0.957096
2845,0,0,0.957096
1650,4,4,0.957143
626,2,5,0.957143
1650,4,2,0.957143
718,3,4,0.957187
490,0,4,0.957187
1516,2,6,0.957187
1078,0,1,0.957187
2622,1,3,0.957187
1904,4,1,0.957187
1020,3,2,0.957187
1347,1,0,0.957187
90,1,0,0.957187
2600,1,4,0.957187
1989,2,1,0.957237
2165,3,2,0.957237
2665,4,2,0.957237
2293,4,2,0.957237
2657,4,3,0.957237
1955,1,1,0.957237
2468,0,3,0.957237
447,4,0,0.957265
1270,1,1,0.957265
1572,0,3,0.957265
1268,1,1,0.957265
447,1,1,0.957265
2261,2,2,0.957295
2261,1,3,0.957295
2194,3,2,0.957295
2194,1,1,0.957295
2536,1,3,0.957317
1523,4,6,0.957317
961,2,3,0.957317
922,3,3,0.957317
96,3,3,0.957317
1619,4,2,0.957317
1017,0,6,0.957317
2536,1,6,0.957317
753,4,5,0.957317
1918,1,0,0.957377
1406,2,4,0.957377
192,4,2,0.957377
2825,2,2,0.957377
2825,1,1,0.957377
206,3,0,0.957377
823,0,5,0.957377
1810,2,0,0.957386
1306,4,0,0.957386
1321,2,4,0.957386
1682,3,5,0.957447
919,4,1,0.957447
1902,4,1,0.957447
2974,1,5,0.957447
2265,0,5,0.957447
2368,0,6,0.957447
1786,0,4,0.957447
1621,2,5,0.957447
541,2,5,0.957447
1906,4,1,0.957447
1758,3,4,0.957447
1514,4,4,0.957447
1221,2,4,0.957447
495,3,6,0.957447
1111,2,2,0.957447
973,1,0,0.957447
1784,3,4,0.957447
1112,4,1,0.957447
491,3,6,0.957447
1807,2,5,0.957507
1316,4,0,0.957507
328,1,0,0.957516
1987,3,3,0.957516
139,0,2,0.957516
328,0,4,0.957516
207,0,2,0.957516
2048,1,5,0.957516
2153,1,1,0.957516
417,4,4,0.957576
1114,4,1,0.957576
1225,4,0,0.957576
1181,4,0,0.957576
1623,2,5,0.957576
1622,2,5,0.957576
864,1,3,0.957576
2379,2,6,0.957576
1341,4,6,0.957576
1343,4,6,0.957576
920,3,3,0.957576
1714,1,3,0.957576
2098,2,0,0.957576
1222,2,4,0.957576
2264,4,2,0.957597
2791,0,1,0.957597
2264,0,5,0.957597
63,3,3,0.957627
1921,3,4,0.957655
2049,0,4,0.957655
1947,1,1,0.957655
2653,4,3,0.957655
2049,1,5,0.957655
2154,3,2,0.957655
1924,4,1,0.957655
1954,1,1,0.957655
332,2,2,0.957655
2926,1,5,0.957655
2966,2,4,0.957692
1113,4,1,0.957704
2528,3,1,0.957704
1031,3,3,0.957704
527,1,1,0.957704
536,3,5,0.957704
527,4,6,0.957704
2607,0,4,0.957704
1517,4,4,0.957704
2599,4,1,0.957704
1019,3,3,0.957704
1083,0,2,0.957704
649,1,6,0.957704
1273,2,4,0.957747
61,3,4,0.957747
2237,0,0,0.957747
2319,1,1,0.957792
2052,0,4,0.957792
2861,0,6,0.957792
2848,0,0,0.957792
2155,3,4,0.957792
333,2,2,0.957792
2317,1,3,0.957792
2333,0,4,0.957792
2848,2,2,0.957792
2317,1,1,0.957792
2155,0,3,0.957792
20,0,2,0.957806
2367,2,5,0.957831
866,3,4,0.957831
542,1,1,0.957831
1018,0,6,0.957831
981,2,3,0.957831
1110,0,1,0.957831
1788,4,3,0.957831
680,3,4,0.957831
865,1,3,0.957831
2384,0,6,0.957831
1532,2,6,0.957831
942,4,2,0.957831
398,0,6,0.957831
393,0,6,0.957831
1735,3,4,0.957831
1520,4,6,0.957831
1282,1,1,0.957865
1299,3,5,0.957865
2206,0,5,0.957895
2192,3,4,0.957895
2792,3,4,0.957895
2355,0,5,0.957929
346,2,2,0.957929
2654,4,3,0.957929
263,0,1,0.957929
2055,0,4,0.957929
819,1,3,0.957929
818,1,3,0.957929
2149,3,2,0.957929
982,2,3,0.957958
1534,2,6,0.957958
939,1,1,0.957958
410,3,3,0.957958
2601,1,3,0.957958
644,0,3,0.957958
551,1,1,0.957958
515,0,5,0.957958
1303,3,2,0.957983
1599,4,2,0.957983
2972,2,4,0.957983
30,3,3,0.958015
211,4,2,0.958064
329,2,2,0.958064
2335,0,4,0.958064
2507,4,3,0.958064
2314,1,3,0.958064
210,4,2,0.958064
2634,4,0,0.958064
670,0,4,0.958084
2531,1,4,0.958084
1543,4,6,0.958084
2606,0,4,0.958084
2605,0,4,0.958084
929,4,3,0.958084
427,0,6,0.958084
872,3,4,0.958084
669,1,6,0.958084
1543,4,4,0.958084
516,0,5,0.958084
1095,0,2,0.958084
2530,4,0,0.958084
60,3,4,0.958101
1588,4,2,0.958101
1858,2,0,0.958101
2990,4,4,0.958115
2210,0,5,0.958188
1946,3,4,0.958199
2859,1,1,0.958199
1944,2,5,0.958199
839,1,3,0.958199
2336,0,4,0.958199
2466,0,3,0.958199
327,3,4,0.958199
1945,2,5,0.958199
839,0,5,0.958199
1676,3,5,0.958209
1636,2,5,0.958209
994,0,6,0.958209
2604,1,4,0.958209
1109,4,1,0.958209
1637,3,5,0.958209
1555,4,6,0.958209
426,0,6,0.958209
673,3,4,0.958209
1636,3,5,0.958209
1004,1,0,0.958209
706,1,2,0.958209
998,1,0,0.958209
666,1,5,0.958209
1584,4,6,0.958217
67,3,3,0.958217
1584,4,2,0.958217
408,1,4,0.958333
2702,4,2,0.958333
1739,1,0,0.958333
1616,4,2,0.958333
1358,1,0,0.958333
1135,0,0,0.958333
1448,1,6,0.958333
1540,2,6,0.958333
1135,2,2,0.958333
1916,1,0,0.958333
1691,2,4,0.958333
2208,0,5,0.958333
1102,2,2,0.958333
665,1,6,0.958333
260,0,1,0.958333
1729,1,3,0.958333
2997,3,6,0.958333
1916,0,0,0.958333
1211,2,4,0.958333
407,0,6,0.958333
2691,4,1,0.958333
1630,4,4,0.958333
1211,2,1,0.958333
2553,4,1,0.958333
1557,4,6,0.958333
1360,4,0,0.958333
1540,0,3,0.958333
2944,2,4,0.958333
548,2,5,0.958333
1360,2,2,0.958333
471,2,1,0.958333
931,4,3,0.958333
1585,1,1,0.958333
1737,0,4,0.958457
1640,2,5,0.958457
1015,0,6,0.958457
